t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
0,1,0,0,0,0,0.66,district road,0.071,15,5,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,1.1,district,1.6,7,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,5.5,major district road,1.1,15,3,2543243,251,484,137,64,52,223,63,0,193.7796
0,1,0,0,0,0,0.1,major district road,0.6,7,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1,major district road,3,11,3,116000,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,4.5,major district road,4.6,9,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.2,district road,7,13,4,887978,60,180,42,12,16,109,18,0,66.1623
0,1,0,0,0,0,2.9,major district road,3,5,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1,district,0.75,13,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.45,district,1.2,7,2,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,9.9,district,0.24,5,5,582320,91,212,54,9,26,123,37,0,84.7858
